property,year,status,next_action,source_path
St. Charles Place,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/St Charles Housing LP/2022 COMPLETED TAX RETURN PACKAGE/STCHASHOUSIN_V1_ 2022 RETURN.pdf"
St. Charles Place,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/St Charles Housing LP/2023 COMPLETED TAX RETURN PACKAGE/STCHASHOUSIN_V1_ 2023 RETURN.pdf"
St. Charles Place,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/St Charles Housing LP/2024 COMPLETED TAX RETURN PACKAGE/STCHASHOUSIN_V1_ 2024 RETURN.pdf"
St. Charles Place,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/St Charles Housing LP/2025 COMPLETED TAX RETURN PACKAGE/E-Filing - NY IT-204-LL _Sign and return to SAC_.pdf"
Star Homes,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Star_Homes_I_LP_2020.pdf"
Star Homes,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Star_Homes_I_LP_2021.pdf"
Star Homes,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Star Homes I LP/2022 COMPLETED TAX RETURN PACKAGE/STARHOMESLP_V1_ 2022 RETURN.pdf"
Star Homes,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Star Homes I LP/2023 COMPLETED TAX RETURN PACKAGE/STARHOMESLP_V1_ 2023 RETURN.pdf"
Star Homes,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Star Homes I LP/2024 COMPLETED TAX RETURN PACKAGE/STARHOMESLP_V1_ 2024 RETURN.pdf"
Star Homes,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Star Homes I LP/2025 COMPLETED TAX RETURN PACKAGE/STARHOMESLP_V1_ 2025 RETURN.pdf"
The Gates on Manhattan,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Gates_on_Manhattan_LP_2020.pdf"
The Gates on Manhattan,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Gates_on_Manhattan_LP_2021.pdf"
The Gates on Manhattan,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Gates on Manhattan LP/2022 COMPLETED TAX RETURN PACKAGE/GATESONMANH_V1_ 2022 RETURN.pdf"
The Gates on Manhattan,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Gates on Manhattan LP/2023 COMPLETED TAX RETURN PACKAGE/GATESONMANH_V1_ 2023 RETURN.pdf"
The Gates on Manhattan,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Gates on Manhattan LP/2024 COMPLETED TAX RETURN PACKAGE/GATESONMANH_V1_ 2024 RETURN.pdf"
The Gates on Manhattan,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Gates on Manhattan LP/2025 COMPLETED TAX RETURN PACKAGE/GATESONMANH_V1_ 2025 RETURN.pdf"
The Thibodaux Apartments,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
The Thibodaux Apartments,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
The Thibodaux Apartments,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
The Thibodaux Apartments,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
The Thibodaux Apartments,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
The Thibodaux Apartments,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Thomasville Church Homes,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Thomasville Church Homes,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Thomasville Church Homes,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Thomasville Church Homes,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Thomasville Church Homes,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Thomasville Church Homes,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Wilmington Arms Apartments,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Wilmington_Arms_Housing_LP_2020.pdf"
Wilmington Arms Apartments,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Wilmington_Arms_Housing_LP_2021.pdf"
Wilmington Arms Apartments,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Wilmington Arms Housing LP/2022 COMPLETED TAX RETURN PACKAGE/WILMARMSHSG_V1_ 2022 RETURN.pdf"
Wilmington Arms Apartments,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Wilmington Arms Housing LP/2023 COMPLETED TAX RETURN PACKAGE/WILMARMSHSG_V2_ 2023 RETURN.pdf"
Wilmington Arms Apartments,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Wilmington Arms Housing LP/2024 COMPLETED TAX RETURN PACKAGE/WILMARMSHSG_V1_ 2024 RETURN.pdf"
Wilmington Arms Apartments,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Wilmington Arms Housing LP/2025 COMPLETED TAX RETURN PACKAGE/WILMARMSHSG_V1_ 2025 RETURN.pdf"
Yorkshire / Windsor Village,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Windsor_Housing_LP_2020.pdf"
Yorkshire / Windsor Village,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Windsor_Housing_LP_2021.pdf"
Yorkshire / Windsor Village,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Windsor Housing LP/2022 COMPLETED TAX RETURN PACKAGE/WINDSORHSGLP_V1_ 2022 RETURN.pdf"
Yorkshire / Windsor Village,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Windsor Housing LP/2023 COMPLETED TAX RETURN PACKAGE/WINDSORHSGLP_V1_ 2023 RETURN.pdf"
Yorkshire / Windsor Village,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Windsor Housing LP/2024 COMPLETED TAX RETURN PACKAGE/WINDSORHSGLP_V1_ 2024 RETURN.pdf"
Yorkshire / Windsor Village,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Windsor Housing LP/2025 COMPLETED TAX RETURN PACKAGE/WINDSORHSGLP_V1_ 2025 RETURN.pdf"
Village Green Apartments,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Village_Green_Housing_LP_2020.pdf"
Village Green Apartments,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Village_Green_Housing_LP_2021.pdf"
Village Green Apartments,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Village Green Housing LP/2022 COMPLETED TAX RETURN/VILLAGEGRHSG_V1_ 2022 RETURN.pdf"
Village Green Apartments,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Village Green Housing LP/2023 COMPLETED TAX RETURN PACKAGE/VILLAGEGRHSG_V1_ 2023 RETURN.pdf"
Village Green Apartments,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Village Green Housing LP/2024 COMPLETED TAX RETURN PACKAGE/VILLAGEGRHSG_V1_ 2024 RETURN.pdf"
Village Green Apartments,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Village Green Housing LP/2025 COMPLETED TAX RETURN PACKAGE/VILLAGEGRHSG_V1_ 2025 RETURN.pdf"
Riverchase,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Riverchase_Housing_LP_2020.pdf"
Riverchase,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Riverchase_Housing_LP_2021.pdf"
Riverchase,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Riverchase Housing LP/2022 COMPLETED TAX RETURN PACKAGE/RIVERCHASELP_V1_ 2022 RETURN.pdf"
Riverchase,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Riverchase Housing LP/2023 COMPLETED TAX RETURN PACKAGE/RIVERCHASELP_V1_ 2023 RETURN.pdf"
Riverchase,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Riverchase Housing LP/2024 COMPLETED TAX RETURN PACKAGE/RIVERCHASELP_V1_ 2024 RETURN.pdf"
Riverchase,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Riverchase Housing LP/2025 COMPLETED TAX RETURN PACKAGE/E-Filing - NY IT-204-LL _Sign and return to SAC_.pdf"
Coral Village Apartments,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/CORAL VILLAGE HOUSING LP/2023 COMPLETED TAX RETURN PACKAGE/2023 CORAL VILLAGE HOUSING LP - The Gerald Gilberg 2020 Family Trustv.pdf"
Coral Village Apartments,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Coral_Village_Housing_LP_2021.pdf"
Coral Village Apartments,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/CORAL VILLAGE HOUSING LP/2022 COMPLETED TAX RETURN PACKAGE/CORALVILLAGE_V1_ 2022 RETURN.pdf"
Coral Village Apartments,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/CORAL VILLAGE HOUSING LP/2023 COMPLETED TAX RETURN PACKAGE/CORALVILLAGE_V1_ 2023 RETURN.pdf"
Coral Village Apartments,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/CORAL VILLAGE HOUSING LP/2024 COMPLETED TAX RETURN PACKAGE/CORALVILLAGE_V1_ 2024 RETURN.pdf"
Coral Village Apartments,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/CORAL VILLAGE HOUSING LP/2025 COMPLETED TAX RETURN PACKAGE/CORALVILLAGE_V1_ 2025 RETURN.pdf"
Crossroads of Lee's Summit,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Crossroads of Lee's Summit,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Crossroads of Lee's Summit,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Crossroads of Lee's Summit,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Crossroads of Lee's Summit,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Crossroads of Lee's Summit,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Bayou Pointe Apartments,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Bayou Pointe Apartments,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Bayou Pointe Apartments,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Bayou Pointe Apartments,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Bayou Pointe Apartments,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Bayou Pointe Apartments,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Howell Place,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Howell Place,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Howell Place,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Howell Place,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Howell Place,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Howell Place,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite La Promesa,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite La Promesa,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite La Promesa,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite La Promesa,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite La Promesa,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite La Promesa,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Pelican Bay,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Pelican Bay,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Pelican Bay,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Pelican Bay,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Pelican Bay,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Pelican Bay,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Pirates Bend,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Pirates Bend,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Pirates Bend,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Pirates Bend,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Pirates Bend,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Granite Pirates Bend,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
North Pointe Apartments,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
North Pointe Apartments,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
North Pointe Apartments,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/North Pointe Housing LP/2022 COMPLETED TAX RETURN PACKAGE/North_Pointe;V1; 2022 RETURN.pdf"
North Pointe Apartments,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/North Pointe Housing LP/2023 COMPLETED TAX RETURN PACKAGE/North_Pointe;V1; 2023 RETURN.pdf"
North Pointe Apartments,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/North Pointe Housing LP/2024 COMPLETED TAX RETURN PACKAGE/North_Pointe;V1; 2024 RETURN.pdf"
North Pointe Apartments,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/North Pointe Housing LP/2025 COMPLETED TAX RETURN PACKAGE/2025 Tax Return - North Pointe LLC.pdf"
River Garden Estates,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
River Garden Estates,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
River Garden Estates,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
River Garden Estates,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
River Garden Estates,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/River Garden Estates Housing, LP/2024 COMPLETED TAX RETURN PACKAGE/RIVERGARDEN_V1_ 2024 RETURN.pdf"
River Garden Estates,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/River Garden Estates Housing, LP/2025 Tax Return/RGEH BOFA 1187 STATEMENT 01.31.25 (2).pdf"
Walnut Hill,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Walnut Hill,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Walnut Hill,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Walnut Hill,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Walnut Hill,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Walnut Hill,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
